city,company_name,finance_status,registered_capital,recruit,field,location,latitude,longitude
深圳-宝安区,深圳市宝易升精密五金有限公司,未融资,238万人民币,100-499人,高端制造,深圳市宝安区石岩街道塘头大道60号宝利安工业园D栋三楼,22.654558,113.916825
深圳-宝安区,深圳市至彩光电有限公司,,200万人民币,100-499人,租赁电商,深圳市宝安区石岩街道上屋社区同富裕工业区外环工业园A栋二楼,22.810115,113.846521
上海-闵行区,晋迅紧固件(上海)有限公司,,2000万人民币,1-49人,机械/机电/重工,上海市闵行区苏虹路333号2楼,31.194825,121.313827
上海-浦东新区,上海客佳信息科技有限公司,未融资,1481.48万人民币,50-99人,汽车/摩托车,五星路706弄28号,31.145228,121.431264
北京-东城区,库渤(北京)工业科技有限公司,,5000万人民币,1000-2000人,机械/机电/重工,银河SOHO,39.920669,116.433508
深圳,深圳市比斯克交通机械实业有限公司,未融资,1100万人民币,100-499人,餐饮/酒旅/服务,宝安区航城街道钟屋工业区68栋,22.622837,113.852436
广州-黄埔区,广州普洛夫尔薄膜有限公司,未融资,3886.0万人民币,50-99人,原材料加工,东区东鹏大道38号,23.122786,113.526947
深圳,盛恒达机电设备,未融资,5000万人民币,100-499人,机械/机电/重工,福田区福华三路卓越世纪中心,22.532264,114.064949
上海-奉贤区,马勒投资(中国)有限公司,未融资,71230.38万人民币,100-499人,汽车/摩托车,上海市奉贤区奉浦工业园区环城北路1299号,30.917795,121.474042
北京,北京环卫集团环卫装备有限公司,未融资,23000万人民币,100-499人,机械/机电/重工,顺义区马坡镇龙跃街13号,40.173854,116.626923
上海,贤通动力,未融资,300万人民币,100-499人,机械/机电/重工,奉贤区南桥镇张翁庙路22号,30.93498,121.44188
上海,SPX,,20569.0万人民币,500-999人,机械/机电/重工,华山路1568号财瑞大厦,31.20507,121.43345
上海,上海飞尔汽配有限公司,未融资,6900万人民币,100-499人,机械/机电/重工,上海市奉贤区邬桥镇北环路538号,30.962689,121.391881
上海-徐汇区,延锋汽车饰件,未融资,107894.7854万人民币,10000人以上,汽车/摩托车,柳州路399号,31.166725,121.425422
上海-嘉定区,上海朗现机电设备有限公司,未融资,50万人民币,50-99人,机械/机电/重工,上海市嘉定区招贤路1181号,31.28769,121.43833
深圳,东江集团(控股)有限公司,未融资,14110.0万人民币,2000-5000人,原材料加工,广东省深圳市光明新区光明高新技术产业园区汇业路11号东江科技工业园,22.733472,113.944014
